VARIABLES=X/D,CP(0),CP(30),CP(60),CP(90),CP(120),CP(150),CP(180)
ZONE T="BODY CP AT MACH=  2.36 ALPHA=  0.00"
      0.000000   0.28498   0.28498   0.28498   0.28498   0.28498   0.28498   0.28498
      0.027563   0.28027   0.28027   0.28027   0.28027   0.28027   0.28027   0.28027
      0.036024   0.27878   0.27878   0.27878   0.27878   0.27878   0.27878   0.27878
      0.047066   0.27691   0.27691   0.27691   0.27691   0.27691   0.27691   0.27691
      0.061462   0.27443   0.27443   0.27443   0.27443   0.27443   0.27443   0.27443
      0.080210   0.27125   0.27125   0.27125   0.27125   0.27125   0.27125   0.27125
      0.104592   0.26713   0.26713   0.26713   0.26713   0.26713   0.26713   0.26713
      0.136239   0.26183   0.26183   0.26183   0.26183   0.26183   0.26183   0.26183
      0.177217   0.25504   0.25504   0.25504   0.25504   0.25504   0.25504   0.25504
      0.230109   0.24639   0.24639   0.24639   0.24639   0.24639   0.24639   0.24639
      0.298097   0.23547   0.23547   0.23547   0.23547   0.23547   0.23547   0.23547
      0.385031   0.22183   0.22183   0.22183   0.22183   0.22183   0.22183   0.22183
      0.495443   0.20504   0.20504   0.20504   0.20504   0.20504   0.20504   0.20504
      0.634471   0.18471   0.18471   0.18471   0.18471   0.18471   0.18471   0.18471
      0.807644   0.16062   0.16062   0.16062   0.16062   0.16062   0.16062   0.16062
      1.020440   0.13281   0.13281   0.13281   0.13281   0.13281   0.13281   0.13281
      1.277568   0.10169   0.10169   0.10169   0.10169   0.10169   0.10169   0.10169
      1.581965   0.06811   0.06811   0.06811   0.06811   0.06811   0.06811   0.06811
      1.933560   0.03337   0.03337   0.03337   0.03337   0.03337   0.03337   0.03337
      2.328047  -0.00079  -0.00079  -0.00079  -0.00079  -0.00079  -0.00079  -0.00079
      2.756052  -0.03243  -0.03243  -0.03243  -0.03243  -0.03243  -0.03243  -0.03243
      3.000000  -0.04803  -0.04803  -0.04803  -0.04803  -0.04803  -0.04803  -0.04803
