VARIABLES=Y/(B/2),X/C,CP
ZONE T="FIN SET  1 CP, MACH=  2.36"
   0.00003   0.00000   0.34127
   0.00003   0.00003   0.33098
   0.00003   0.00013   0.30135
   0.00003   0.00029   0.25595
   0.00003   0.00050   0.20026
   0.00003   0.00077   0.14100
   0.00003   0.00108   0.08532
   0.00003   0.00142   0.03992
   0.00003   0.00234   0.16288
   0.00003   0.00247   0.11436
   0.00003   0.00261   0.10329
   0.00003   0.00275   0.09244
   0.00003   0.00290   0.08167
   0.00003   0.00305   0.07097
   0.00003   0.00321   0.06031
   0.00003   0.00337   0.04969
   0.00003   0.00354   0.03911
   0.00003   0.00372   0.02854
   0.00003   0.00389   0.01560
   0.00003   0.00390   0.04422
   0.00003   0.00390   0.04422
   0.00003   0.00390   0.04422
   0.00003   0.00390   0.04422
   0.00003   0.00390   0.04313
   0.00003   0.00390   0.04505
   0.00003   0.03317   0.05235
   0.00003   0.06243   0.05235
   0.00003   0.09169   0.05235
   0.00003   0.12095   0.05235
   0.00003   0.15021   0.05235
   0.00003   0.17948   0.05235
   0.00003   0.20874   0.05235
   0.00003   0.23800  -0.06318
   0.00003   0.23800  -0.06318
   0.00003   0.26711  -0.00479
   0.00003   0.29622  -0.00479
   0.00003   0.32533  -0.00479
   0.00003   0.35444  -0.00479
   0.00003   0.38356  -0.00479
   0.00003   0.41267  -0.00479
   0.00003   0.44178  -0.00479
   0.00003   0.47089  -0.00479
   0.00003   0.50000  -0.00479
   0.00003   0.52911  -0.00479
   0.00003   0.55822  -0.00479
   0.00003   0.58733  -0.00479
   0.00003   0.61644  -0.00479
   0.00003   0.64556  -0.00479
   0.00003   0.67467  -0.00479
   0.00003   0.70378  -0.00479
   0.00003   0.73289  -0.00479
   0.00003   0.76200  -0.09504
   0.00003   0.76200  -0.09504
   0.00003   0.79175  -0.08210
   0.00003   0.82150  -0.08210
   0.00003   0.85125  -0.08210
   0.00003   0.88100  -0.08210
   0.00003   0.91075  -0.08210
   0.00003   0.94050  -0.08210
   0.00003   0.97025  -0.08210
   0.00003   1.00000   0.00588
ZONE T="FIN SET  1 CP, MACH=  2.36"
   0.12500   0.00000   0.34127
   0.12500   0.00003   0.33098
   0.12500   0.00013   0.30135
   0.12500   0.00029   0.25595
   0.12500   0.00050   0.20026
   0.12500   0.00077   0.14100
   0.12500   0.00108   0.08532
   0.12500   0.00142   0.03992
   0.12500   0.00235   0.73374
   0.12500   0.00248   0.68522
   0.12500   0.00261   0.63716
   0.12500   0.00275   0.58954
   0.12500   0.00290   0.54231
   0.12500   0.00306   0.49545
   0.12500   0.00321   0.44893
   0.12500   0.00338   0.40271
   0.12500   0.00355   0.35678
   0.12500   0.00372   0.31109
   0.12500   0.00390   0.23568
   0.12500   0.00391   0.23568
   0.12500   0.00391   0.23568
   0.12500   0.00391   0.23568
   0.12500   0.00391   0.23568
   0.12500   0.00391   0.23568
   0.12500   0.00391   0.23568
   0.12500   0.03317   0.05697
   0.12500   0.06243   0.05743
   0.12500   0.09169   0.05485
   0.12500   0.12095   0.05291
   0.12500   0.15022   0.05152
   0.12500   0.17948   0.05050
   0.12500   0.20874   0.04974
   0.12500   0.23800  -0.05213
   0.12500   0.23800  -0.05213
   0.12500   0.26711  -0.05259
   0.12500   0.29622  -0.02767
   0.12500   0.32533  -0.01659
   0.12500   0.35444  -0.01209
   0.12500   0.38356  -0.00967
   0.12500   0.41267  -0.00819
   0.12500   0.44178  -0.00723
   0.12500   0.47089  -0.00656
   0.12500   0.50000  -0.00608
   0.12500   0.52911  -0.00572
   0.12500   0.55822  -0.00545
   0.12500   0.58733  -0.00524
   0.12500   0.61644  -0.00508
   0.12500   0.64556  -0.00495
   0.12500   0.67467  -0.00484
   0.12500   0.70378  -0.00475
   0.12500   0.73289  -0.00468
   0.12500   0.76200  -0.09488
   0.12500   0.76200  -0.09488
   0.12500   0.79175  -0.09483
   0.12500   0.82150  -0.09479
   0.12500   0.85125  -0.09475
   0.12500   0.88100  -0.09373
   0.12500   0.91075  -0.08749
   0.12500   0.94050  -0.08558
   0.12500   0.97025  -0.08453
   0.12500   1.00000   0.00411
ZONE T="FIN SET  1 CP, MACH=  2.36"
   0.25000   0.00000   0.34127
   0.25000   0.00003   0.33098
   0.25000   0.00013   0.30135
   0.25000   0.00029   0.25595
   0.25000   0.00051   0.20026
   0.25000   0.00077   0.14100
   0.25000   0.00108   0.08532
   0.25000   0.00142   0.03992
   0.25000   0.00235   0.73374
   0.25000   0.00248   0.68522
   0.25000   0.00262   0.63716
   0.25000   0.00276   0.58954
   0.25000   0.00291   0.54231
   0.25000   0.00306   0.49545
   0.25000   0.00322   0.44893
   0.25000   0.00338   0.40271
   0.25000   0.00355   0.35678
   0.25000   0.00373   0.31109
   0.25000   0.00391   0.20814
   0.25000   0.00392   0.20814
   0.25000   0.00392   0.20814
   0.25000   0.00392   0.20814
   0.25000   0.00392   0.20814
   0.25000   0.00392   0.20814
   0.25000   0.00392   0.20814
   0.25000   0.03318   0.03722
   0.25000   0.06244   0.05980
   0.25000   0.09170   0.05735
   0.25000   0.12096   0.05447
   0.25000   0.15022   0.05214
   0.25000   0.17948   0.05032
   0.25000   0.20874   0.04887
   0.25000   0.23800  -0.03934
   0.25000   0.23800  -0.03934
   0.25000   0.26711  -0.04029
   0.25000   0.29622  -0.04107
   0.25000   0.32533  -0.04174
   0.25000   0.35444  -0.02718
   0.25000   0.38356  -0.01884
   0.25000   0.41267  -0.01466
   0.25000   0.44178  -0.01205
   0.25000   0.47089  -0.01028
   0.25000   0.50000  -0.00901
   0.25000   0.52911  -0.00806
   0.25000   0.55822  -0.00733
   0.25000   0.58733  -0.00675
   0.25000   0.61644  -0.00630
   0.25000   0.64556  -0.00593
   0.25000   0.67467  -0.00562
   0.25000   0.70378  -0.00537
   0.25000   0.73289  -0.00516
   0.25000   0.76200  -0.09524
   0.25000   0.76200  -0.09524
   0.25000   0.79175  -0.09508
   0.25000   0.82150  -0.09495
   0.25000   0.85125  -0.09484
   0.25000   0.88100  -0.09474
   0.25000   0.91075  -0.09465
   0.25000   0.94050  -0.09458
   0.25000   0.97025  -0.09452
   0.25000   1.00000  -0.00648
ZONE T="FIN SET  1 CP, MACH=  2.36"
   0.37500   0.00000   0.34127
   0.37500   0.00003   0.33098
   0.37500   0.00013   0.30135
   0.37500   0.00029   0.25595
   0.37500   0.00051   0.20026
   0.37500   0.00077   0.14100
   0.37500   0.00108   0.08532
   0.37500   0.00143   0.03992
   0.37500   0.00236   0.73374
   0.37500   0.00249   0.68522
   0.37500   0.00262   0.63716
   0.37500   0.00277   0.58954
   0.37500   0.00291   0.54231
   0.37500   0.00307   0.49545
   0.37500   0.00323   0.44893
   0.37500   0.00339   0.40271
   0.37500   0.00356   0.35678
   0.37500   0.00374   0.31109
   0.37500   0.00392   0.18059
   0.37500   0.00393   0.18059
   0.37500   0.00393   0.18059
   0.37500   0.00393   0.18059
   0.37500   0.00393   0.18059
   0.37500   0.00393   0.18059
   0.37500   0.00393   0.18059
   0.37500   0.03319   0.18059
   0.37500   0.06245   0.04858
   0.37500   0.09171   0.05496
   0.37500   0.12097   0.05323
   0.37500   0.15022   0.05095
   0.37500   0.17948   0.04891
   0.37500   0.20874   0.04717
   0.37500   0.23800  -0.02708
   0.37500   0.23800  -0.02708
   0.37500   0.26711  -0.02831
   0.37500   0.29622  -0.02936
   0.37500   0.32533  -0.03026
   0.37500   0.35444  -0.03104
   0.37500   0.38356  -0.03172
   0.37500   0.41267  -0.03232
   0.37500   0.44178  -0.02159
   0.37500   0.47089  -0.01663
   0.37500   0.50000  -0.01372
   0.37500   0.52911  -0.01173
   0.37500   0.55822  -0.01028
   0.37500   0.58733  -0.00916
   0.37500   0.61644  -0.00828
   0.37500   0.64556  -0.00758
   0.37500   0.67467  -0.00700
   0.37500   0.70378  -0.00652
   0.37500   0.73289  -0.00612
   0.37500   0.76200  -0.09604
   0.37500   0.76200  -0.09604
   0.37500   0.79175  -0.09574
   0.37500   0.82150  -0.09549
   0.37500   0.85125  -0.09527
   0.37500   0.88100  -0.09508
   0.37500   0.91075  -0.09491
   0.37500   0.94050  -0.09477
   0.37500   0.97025  -0.09464
   0.37500   1.00000  -0.00655
ZONE T="FIN SET  1 CP, MACH=  2.36"
   0.50000   0.00000   0.34127
   0.50000   0.00003   0.33098
   0.50000   0.00013   0.30135
   0.50000   0.00029   0.25595
   0.50000   0.00051   0.20026
   0.50000   0.00078   0.14100
   0.50000   0.00109   0.08532
   0.50000   0.00143   0.03992
   0.50000   0.00236   0.73374
   0.50000   0.00250   0.68522
   0.50000   0.00263   0.63716
   0.50000   0.00278   0.58954
   0.50000   0.00293   0.54231
   0.50000   0.00308   0.49545
   0.50000   0.00324   0.44893
   0.50000   0.00341   0.40271
   0.50000   0.00358   0.35678
   0.50000   0.00375   0.31109
   0.50000   0.00393   0.15304
   0.50000   0.00394   0.15304
   0.50000   0.00394   0.15304
   0.50000   0.00395   0.15304
   0.50000   0.00395   0.15304
   0.50000   0.00395   0.15304
   0.50000   0.00395   0.15304
   0.50000   0.03321   0.15304
